,pr
2502,644.5359150879085
2503,469.76787289604545
2504,797.4464792758226
2505,404.70678380224854
2506,340.04300949163735
2507,428.64191159606423
2508,489.117364352569
2509,510.84141230676323
2510,445.3196601010859
2511,359.526155423373
2512,538.9932360732928
2513,694.2867076490074
2514,1363.548769801855
2515,725.1055344007909
2516,794.4898341782391
2517,780.1277276594192
2518,368.60288023017347
2519,550.8089780341878
2520,799.8160927556455
2521,412.72452156990767
2522,491.03803765028715
2523,300.51912786439453
2524,621.4501395821571
2525,482.4665039777756
2526,673.1445068959147
2527,1112.1060089673847
2528,576.0162159567699
2529,439.4736899994314
2530,562.0566715020686
2531,759.7746281884611
2532,332.1599502582144
2533,342.452085390687
2534,735.0529205985367
2535,525.347821880132
2536,862.5741183757827
2537,530.7189051993237
2538,725.9680008050054
2539,752.5004257913722
2540,489.1958026215434
2541,445.4331766348332
2542,724.3521532276645
2543,813.5581953451037
2544,455.32093229703605
2545,515.9559194929898
2546,708.7293577613309
2547,502.9068653471768
2548,382.9160469118506
2549,758.1819429527968
2550,943.2848158059642
2551,482.4830196797848
2552,893.9547480549663
2553,538.1366543937474
2554,911.2544134492055
2555,654.4868172844872
2556,937.3636870644987
2557,513.0626019788906
2558,762.7142383251339
2559,993.365630088374
2560,489.12786771543324
2561,536.2382237333804
2562,598.1571445707232
2563,585.7454800978303
2564,426.8488703761292
2565,473.95238424651325
2566,773.5965696629182
2567,586.8784766178578
2568,826.9583590328693
2569,724.6112665627152
2570,1074.8785944655538
2571,411.3437907770276
2572,606.3938291743398
2573,376.9729427061975
2574,441.5468871127814
2575,577.6413052110001
2576,601.319523062557
2577,662.978964066137
2578,769.3568986840546
2579,786.6764386184514
2580,551.2791185639844
2581,594.4832897745073
2582,700.7809228263795
2583,898.0782068800181
2584,356.5458167809993
2585,812.1586857363582
2586,532.2342397179455
2587,851.4893351588398
2588,994.8008510051295
2589,513.4395518805832
2590,618.184549268339
2591,646.3203879073262
2592,789.7855496965349
2593,558.1397293601185
2594,525.601459108293
2595,734.5506865996867
2596,409.79879437945783
2597,655.256572086364
2598,917.295352066867
2599,442.6849932409823
2600,672.0807880628936
2601,622.6274805609137
2602,534.1256635263562
2603,605.4676045663655
2604,954.4429056812078
2605,896.781328227371
2606,312.468294845894
2607,420.49068971537054
2608,799.4139914866537
2609,713.5107622481883
2610,586.1725749447942
2611,612.5761910341724
2612,507.68391208257526
2613,585.2027099579573
2614,847.6835621986538
2615,579.5406178571326
2616,711.6871306439901
2617,546.9197100028396
2618,1472.591778729111
2619,607.4180101510137
2620,810.9250384848565
2621,388.0744258174673
2622,721.1394361685961
2623,879.4758654898033
2624,697.6708172354847
2625,317.08631068468094
2626,482.5625134399204
2627,796.8317018821836
2628,641.6358182905242
2629,670.5360204912722
2630,500.14635301195085
2631,563.9130359049886
2632,360.5846703518224
2633,1069.817287428309
2634,925.5192217882723
2635,671.1934173479676
2636,378.1190476845994
2637,660.3373921941966
2638,1069.556806795299
2639,825.9599668672308
2640,656.4759736647829
2641,346.75525368656963
2642,676.4635601313785
2643,652.1327168215066
2644,531.4454206964001
2645,666.6314638685435
2646,412.3377566691488
2647,830.3131788969083
2648,967.8318028338253
2649,558.8794406969142
2650,365.6644003931433
2651,838.7549091596156
2652,560.0039077922702
2653,633.7706106249243
2654,799.0427603479475
2655,257.4625305365771
2656,385.2201583329588
2657,544.9343770276755
2658,910.3465571533889
2659,463.1525207776576
2660,442.7207278087735
2661,580.2494703792081
2662,350.25447090156376
2663,996.6835385654122
2664,614.7284211125225
2665,306.20283521711826
2666,472.8629463817924
2667,467.6880448590964
2668,613.5056305211037
2669,810.6697592418641
2670,830.0460170488805
2671,570.8836981561035
2672,845.6341038923711
2673,648.1233899714425
2674,578.6665492225438
2675,825.3291521687061
2676,473.14133578911424
2677,385.0424787495285
2678,746.7938440153375
2679,360.98864497616887
2680,760.5274775298312
2681,522.7126483339816
2682,737.3488923534751
2683,722.8264907374978
2684,604.7083248384297
2685,284.3812652863606
2686,488.7571885250509
2687,437.96871174126863
2688,1217.3173523973674
2689,1375.7066034246236
2690,464.4801765214652
2691,402.9528397601098
2692,645.4132928978652
2693,507.7697802800685
2694,646.4313697535545
2695,1114.5440062042326
2696,742.2114722197875
2697,483.57281712815166
2698,672.6812776643783
2699,441.87966543250235
2700,513.7367810821199
2701,797.9372782632709
2702,817.1768565662205
2703,807.7452239580452
2704,614.0071994159371
2705,456.9305066484958
2706,867.5320262555033
2707,733.0339326057583
2708,1049.2641374934465
2709,440.266081597656
2710,690.2343734633224
2711,1203.1375233549625
2712,711.1923957243562
2713,673.0284783057868
2714,554.1067347396165
2715,748.0030037462711
2716,657.8905675560277
2717,714.7065337747335
2718,977.6932372245938
2719,486.7449911311269
2720,521.0472379345447
2721,935.0208889693022
2722,268.44551134854555
2723,599.7400669846684
2724,340.7369392924011
2725,630.7133336551487
2726,852.1689256187528
2727,1177.0556692499667
2728,609.3783357180655
2729,748.280275426805
2730,813.6500199325383
2731,494.50505767017603
2732,599.1775499191135
2733,960.2735620457679
2734,336.2915776669979
2735,1088.9955252874643
2736,681.3934500329196
2737,603.2974644564092
2738,557.9660655464977
2739,396.4597800280899
2740,942.8604184649926
2741,794.1564599052072
2742,346.7538008932024
2743,795.2376210596412
2744,758.506046002735
2745,596.3930913247168
2746,474.60360531695187
2747,935.0062843412161
2748,785.3469962719828
2749,610.2691463660449
2750,747.7117309346795
2751,689.475117623806
2752,496.62835760973394
2753,510.00585998408496
2754,541.4315457455814
2755,466.262363595888
2756,1139.1306876204908
2757,1090.070384927094
2758,563.9015656895936
2759,836.0232037492096
2760,551.8869984894991
2761,935.1940002059564
2762,410.21037180908024
2763,455.0398560706526
2764,462.35599271021783
2765,832.6335570774972
2766,830.9277060907334
2767,538.9506222680252
2768,309.46872853673995
2769,579.7906064428432
2770,260.93011633493006
2771,520.3708372078836
2772,724.6855557896197
2773,1039.3873353023082
2774,596.0555189754814
2775,348.4072017017752
2776,544.470946630463
2777,494.9301534332335
2778,712.6994107849896
2779,622.9165845550642
2780,387.84135652240366
2781,779.3750901706517
2782,555.0011374522
2783,603.1118652317673
2784,361.0670970752835
2785,486.3564308267087
2786,554.3270312715322
2787,352.836935268715
2788,1039.2662612255663
2789,559.7282806411386
2790,431.9600048940629
2791,510.62426338903606
2792,803.6603273358196
2793,962.8118906635791
2794,518.8455638475757
2795,470.7870071288198
2796,479.5448038727045
2797,519.6665222290903
2798,637.7805057680234
2799,632.2214362677187
2800,778.2839662861079
2801,794.1813818179071
2802,705.6109993485734
2803,457.29824379086494
2804,708.5518007632345
2805,541.7523119598627
2806,769.7379165329039
2807,449.66248380951583
2808,485.0996042601805
2809,738.8386536855251
2810,528.694628435187
2811,426.54556157067833
2812,642.5295401830226
2813,549.2870767135173
2814,420.86764527485207
2815,494.62445955723524
2816,389.38895361498
2817,593.1716204155236
2818,875.7574556395411
2819,726.3443805277348
2820,742.2469547018409
2821,708.6840558797121
2822,532.8745752107393
2823,525.9183862013742
2824,260.63077175058424
2825,469.1616192692891
2826,573.9340550266206
2827,1114.0952395275235
2828,413.18426937796175
2829,392.8950827568816
2830,609.1014625970274
2831,929.7241087071598
2832,428.0679570045322
2833,826.6655975952744
2834,860.3390533011407
2835,799.25801390782
2836,391.51124143972993
2837,1289.4603439606726
2838,486.16441630292684
2839,548.0301935691386
2840,741.6952603496611
2841,790.5582346022129
2842,549.1561681497842
2843,387.35119372140616
2844,669.8985905852169
2845,652.6769724441692
2846,720.3210269333795
2847,462.4803143553436
2848,480.4138609673828
2849,481.39275200664997
